"ExpId","ItmId","Item","Condition","Corr"
"LexTaleOrig","A1","platery","nonword","F"
"LexTaleOrig","A2","denial","word","J"
"LexTaleOrig","A3","generic","word","J"
"LexTaleOrig","E1","mensible","nonword","F"
"LexTaleOrig","E2","scornful","word","J"
"LexTaleOrig","E3","stoutly","word","J"
"LexTaleOrig","E4","ablaze","word","J"
"LexTaleOrig","E5","kermshaw","nonword","F"
"LexTaleOrig","E6","moonlit","word","J"
"LexTaleOrig","E7","lofty","word","J"
"LexTaleOrig","E8","hurricane","word","J"
"LexTaleOrig","E9","flaw","word","J"
"LexTaleOrig","E10","alberation","nonword","F"
"LexTaleOrig","E11","unkempt","word","J"
"LexTaleOrig","E12","breeding","word","J"
"LexTaleOrig","E13","festivity","word","J"
"LexTaleOrig","E14","screech","word","J"
"LexTaleOrig","E15","savoury","word","J"
"LexTaleOrig","E16","plaudate","nonword","F"
"LexTaleOrig","E17","shin","word","J"
"LexTaleOrig","E18","fluid","word","J"
"LexTaleOrig","E19","spaunch","nonword","F"
"LexTaleOrig","E20","allied","word","J"
"LexTaleOrig","E21","slain","word","J"
"LexTaleOrig","E22","recipient","word","J"
"LexTaleOrig","E23","exprate","nonword","F"
"LexTaleOrig","E24","eloquence","word","J"
"LexTaleOrig","E25","cleanliness","word","J"
"LexTaleOrig","E26","dispatch","word","J"
"LexTaleOrig","E27","rebondicate","nonword","F"
"LexTaleOrig","E28","ingenious","word","J"
"LexTaleOrig","E29","bewitch","word","J"
"LexTaleOrig","E30","skave","nonword","F"
"LexTaleOrig","E31","plaintively","word","J"
"LexTaleOrig","E32","kilp","nonword","F"
"LexTaleOrig","E33","interfate","nonword","F"
"LexTaleOrig","E34","hasty","word","J"
"LexTaleOrig","E35","lengthy","word","J"
"LexTaleOrig","E36","fray","word","J"
"LexTaleOrig","E37","crumper","nonword","F"
"LexTaleOrig","E38","upkeep","word","J"
"LexTaleOrig","E39","majestic","word","J"
"LexTaleOrig","E40","magrity","nonword","F"
"LexTaleOrig","E41","nourishment","word","J"
"LexTaleOrig","E42","abergy","nonword","F"
"LexTaleOrig","E43","proom","nonword","F"
"LexTaleOrig","E44","turmoil","word","J"
"LexTaleOrig","E45","carbohydrate","word","J"
"LexTaleOrig","E46","scholar","word","J"
"LexTaleOrig","E47","turtle","word","J"
"LexTaleOrig","E48","fellick","nonword","F"
"LexTaleOrig","E49","destription","nonword","F"
"LexTaleOrig","E50","cylinder","word","J"
"LexTaleOrig","E51","censorship","word","J"
"LexTaleOrig","E52","celestial","word","J"
"LexTaleOrig","E53","rascal","word","J"
"LexTaleOrig","E54","purrage","nonword","F"
"LexTaleOrig","E55","pulsh","nonword","F"
"LexTaleOrig","E56","muddy","word","J"
"LexTaleOrig","E57","quirty","nonword","F"
"LexTaleOrig","E58","pudour","nonword","F"
"LexTaleOrig","E59","listless","word","J"
"LexTaleOrig","E60","wrought","word","J"
